citing_ref,non_segment_ref,num_segments,num_dicta_candidates,candidate_ref,citation_is_section_level,dicta_score,phrase_distance,candidate_text_words,confirm_method,confirmed,opus_confirmed,opus_reason
Chidushei Agadot on Berakhot 59a:1,Rosh Hashanah 11b,7,1,Rosh Hashanah 11b:6,True,2.2,74,52,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLvM3L5Vi3Ptfk5kCu'}"
Meiri on Kiddushin 56b:3,Mishnah Parah,96,2,Mishnah Parah 9:6,False,4.0,577,38,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLvYwpWHfwBjvjg28M'}"
Tosafot Yeshanim on Yoma 67a:3,Shabbat 8a,9,1,Shabbat 8a:8,True,4.0,103,37,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLvXhdCUAhhxQAn24g'}"
"Sefer HeArukh, Letter Samekh 77",Niddah 12,24,2,Niddah 12b:1,True,5.0,69,37,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLvmqZqCJ5i5knq2H4'}"
Chiddushei Rabbi Akiva Eiger on Bava Metzia 21b:4,Tosafot on Bava Batra,1344,1,Tosafot on Bava Batra 79b:4:2,False,5.0,235,40,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLwJLWNtp1eghwozHn'}"
Be'er Sheva 74:1,Tractate Sefer Torah,60,1,Tractate Sefer Torah 4:5,False,4.0,44,42,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLwbwnWTcmQqUjbhU9'}"
"Malbim on Leviticus, Vayikra 164:1",Zevachim 55b,12,1,Zevachim 55b:1,True,2.3,79,27,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLwcw6GzYMkTjhDLLL'}"
Shibbolei HaLeket 43:3,Kiddushin 2a:1-41a:2,1199,7,Kiddushin 33b:7,False,6.0,61,27,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLwV16MHv3NNzWPMRw'}"
"Bach, Yoreh De'ah 183:4:1",Niddah 36,42,1,Niddah 36b:13,True,2.3,59,30,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLwbSzCN5XKkd8cskj'}"
Torah Temimah on Lamentations 5:3:1,Esther,167,3,Esther 2:7,False,5.0,206,22,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLwpqoEkZCY7urUj5k'}"
Yad Ramah on Bava Batra 169b:10,Bava Kamma 46a,15,1,Bava Kamma 46a:11,True,5.0,2,25,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLwv3W3bKm7asujLiZ'}"
"Tzafnat Pa'neach on Mishneh Torah, Forbidden Foods 8:9:1",Bekhorot 29b,15,1,Bekhorot 29b:13,True,5.0,35,29,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLx4E4mxAapaxtWWv1'}"
Shoel uMeshiv Mahadura IV 3:18:3,Ketubot 35,14,4,Ketubot 35a:4,True,2.6,148,43,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLxH7yvBnKh5eNYeWx'}"
Haamek Davar on Numbers 33:4:1,Exodus,1210,5,Exodus 14:8,False,1.5,81,15,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLxN5gJYsZQ4WCiiSV'}"
"Turei Zahav on Shulchan Arukh, Orach Chayim 363:4",Teshuvot HaRosh,2033,1,Teshuvot HaRosh 71:8:2,False,5.0,221,180,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLxRonTzWHopgyniZF'}"
Melekhet Shelomoh on Mishnah Challah 3:9:1,Chullin 130a:1-134b:25,188,6,Chullin 131b:12,False,2.1,532,27,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLxkQTCXNySbprPwec'}"
Arakhin 31b:3,Leviticus 25,55,1,Leviticus 25:29,True,1.5,53,13,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLxhg7F7qUsPBQxdqm'}"
Meiri on Nazir 12b:5,Nazir 2a:1-8b:12,172,5,Nazir 8a:8,False,7.0,10,22,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLxZVQoU81LUu6G9oY'}"
"Netivot Olam, Netiv Hatshuva 6:2",Rosh Hashanah 17b,19,5,Rosh Hashanah 17b:4,True,5.0,60,17,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLyLsYk2AEmSZM4fcm'}"
Rashba on Gittin 47b:1,Gittin 71a,18,1,Gittin 71a:2,True,4.0,25,48,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLyJtPZiSaVf5vKeTh'}"
Rashi on Moed Katan 13b:8:2,Pesachim 40a,19,1,Pesachim 40a:10,True,4.0,160,15,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLyY2jfBGKHkStDcnh'}"
Tosafot on Zevachim 116b:6:1,Menachot 22a,9,1,Menachot 22a:3,True,5.0,2,25,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLyjBwetab6D5bC69Z'}"
"Maggid Mishneh on Mishneh Torah, Forbidden Foods 1:24:2",Avodah Zarah 22a:11-40b:11,541,1,Avodah Zarah 40a:2,False,4.0,314,38,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLykRxb34qHoGxVqo8'}"
"Tiferet Shlomo, on Festivals, Pesach 54",Megillah 3,38,3,Megillah 3a:11,True,4.0,25,36,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLykg39PKKg5mqE6xd'}"
Avodat HaKodesh (Ibn Gabbai) 3:13:8,Seder Olam Rabbah,63,7,Seder Olam Rabbah 25:2,False,6.0,116,523,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLymuxozNRPabWrXUb'}"
"Birkat Asher on Torah, Leviticus 1:1:1",Leviticus,859,1,Leviticus 10:4,False,1.5,116,18,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLzULaF5tacbcA18Wr'}"
"Beit Yosef, Choshen Mishpat 87:10:1",Bava Kamma 107b,13,1,Bava Kamma 107b:2,True,4.0,6,23,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLzULaaKfr88erRbnR'}"
Steinsaltz on Gittin 78a:14,Gittin 32a:3-48b:5,521,1,Gittin 34a:3,False,4.0,25,33,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLzdGKWRe5Z38tHyqy'}"
Meiri on Kiddushin 45b:3,Halakhot Gedolot,843,1,Halakhot Gedolot 18:12,False,5.0,447,906,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLzmCf9fjgxpVRj7o1'}"
"Menorat HaMaor, x; On Marriage, Honoring a wife 4",Bava Metzia 21a:7-33b:6,436,1,Bava Metzia 28b:2,False,4.0,25,46,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLzusgKUuRjWXrUGjc'}"
"Likkutei Torah, Vaetchanan 4:13",Leviticus 6:1-8:36,97,7,Leviticus 6:2,False,1.5,14,24,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM1Q9X5jT9a64X7wZi'}"
"Yismach Moshe, Nasso 11:6",Chullin 91b,18,24,Chullin 91b:16,True,7.0,253,34,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM1YaJSWjigAJLDn4q'}"
Tosafot on Gittin 59b:15:1,Megillah 28a,25,2,Megillah 28a:1,True,4.0,47,10,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM1fX5Dhia48Qrq7dH'}"
"Beit Yosef, Choshen Mishpat 15:4:1",Ketubot 85a,18,1,Ketubot 85a:14,True,7.0,10,38,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM1nxj6RferS3UPCHS'}"
Meiri on Shabbat 135a:3,Shabbat 20b:5-36b:2,308,2,Shabbat 23a:7,False,2.1,19,28,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM1xdXVBTHE8tixuHS'}"
"Darkhei Moshe (Amiel), Derekh HaKodesh, Shmatta 6 1:23",Bava Kamma,4314,2,Bava Kamma 47b:14,False,5.0,23,29,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM2FVQrj2ioJUqszHm'}"
"HaKtav VeHaKabalah, Leviticus 16:23:1",Yoma 71,34,1,Yoma 71a:8,True,6.0,38,43,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM2KTkJqtNznTZMr3m'}"
"Mechokekei Yehudah; Karnei Ohr, Exodus 12:22:1",Exodus,1210,1,Exodus 39:6,False,1.3,410,12,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM2iX327w6U5T24Ujv'}"
"Sulam on Zohar, Bechukotai 29:1",Jeremiah,1364,1,Jeremiah 40:14,False,1.5,1,17,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM2GjGk2G748x4yvGh'}"
"Sefer Mitzvot Gadol, Negative Commandments 137:2",Avodah Zarah 76,23,1,Avodah Zarah 76b:2,True,6.0,206,52,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM2mFMKT8fZHgX4hrK'}"
"Mizrachi, Genesis 28:11:6",Bereshit Rabbah,1037,1,Bereshit Rabbah 36:3,False,5.0,102,180,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM2GjUN5goxoWn3dVh'}"
"Shem MiShmuel, Tzav 8:4",Leviticus,859,1,Leviticus 8:30,False,1.2,473,21,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM2uSH9oriQeUoXfcg'}"
"Pardes Yosef, Leviticus 19:19:1",Numbers 11,35,1,Numbers 11:20,True,1.4,113,21,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM3arqe9G5xmiNATnY'}"
Ohr LaYesharim on Jerusalem Talmud Shekalim 7:3:10,Sifrei Zuta,726,1,Sifrei Zuta 6:10:2,False,4.0,221,51,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM3arkFvYu4x33Vxz2'}"
"Peninei Halakhah, Days of Awe 7:20:6",Biur Halacha,3468,2,Biur Halacha 298:4:1,False,1.2,310,37,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM3syKtujE4zKEtY2y'}"
"Sha'ar HaKavanot, Sermons on Rosh Hashanah 6:2:13",Song of Songs,117,1,Song of Songs 1:1,False,1.7,10,4,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM3yRk7Qe4sET4GbeD'}"
"Leket Yosher, Volume II (Yoreh De'ah) 76:1",Kiddushin,2406,1,Kiddushin 4a:6,False,4.0,191,32,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM49bN33Z7YJBwxj3u'}"
"Mishnat Eretz Yisrael on Mishnah Eduyot, Introduction 6",Mishnah Eduyot,74,3,Mishnah Eduyot 5:6,False,2.1,100,149,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM4aPXJ63ES5ybAMom'}"
"Beur HaGra on Shulchan Arukh, Choshen Mishpat 163:66",Bava Batra 21b,12,1,Bava Batra 21b:10,True,2.4,22,32,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM4Z9xmEC2nqEtJ7ZH'}"
Malbim on Ezekiel 27:12:1,I Kings,817,1,I Kings 9:9,False,1.5,380,29,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM4jp3d7yy6EgJcroz'}"
Reshimot Shiurim on Bava Kamma 11b:5,Bava Metzia 36a,17,4,Bava Metzia 36a:10,True,6.0,20,33,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM4WRis81NreYpuUgL'}"
"HaMiddot leCheker haHalakhah, Part II, Method XVI 23:9",Beitzah 39a,16,2,Beitzah 39a:1,True,4.0,436,20,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM4gLkRLezr3NE84zf'}"
"Mishnat Eretz Yisrael on Mishnah Keritot, Preface 124",Leviticus 14:1-15:33,90,1,Leviticus 15:5,False,1.2,81,10,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM4ujYAPT2LwTRG9Qk'}"
"Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure 18:6:1",Zevachim 112,31,4,Zevachim 112a:12,True,4.0,12,19,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM5Cr3ju51exBGN11J'}"
Ikar Tosafot Yom Tov on Mishnah Sotah 5:2:3,Sotah 27b:3-31a:13,120,3,Sotah 27b:7,False,4.0,2,42,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM5Jo7oKwnn3ydTime'}"
"Har HaMoriyah on Mishneh Torah, Sacrifices Rendered Unfit 1:5:1",Kiddushin 41a:3-58b:11,471,2,Kiddushin 43a:6,False,5.0,415,33,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM5maYBaZ9p2ZkqRwY'}"
Ritva on Megillah 5a:7,Mishnah Shekalim,52,1,Mishnah Shekalim 1:1,False,4.0,5,33,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM61xUAJJesFeTSgpW'}"
Chidushei Chatam Sofer on Chullin 93b:5,Pesachim,3519,6,Pesachim 21b:11,False,2.1,249,22,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM6E77d66135XxPgc1'}"
"Chizkuni, Deuteronomy 1:1:5",Ezekiel,1273,3,Ezekiel 29:13,False,1.4,44,13,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM6R25hDSL2d5TYEp5'}"
Matnot Kehunah on Shir HaShirim Rabbah 2:6:1:4,Song of Songs,117,4,Song of Songs 2:6,False,2.5,20,5,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM6RGexM1Phq8hDUM4'}"
"Chafetz Chaim on Sifra, Tzav, Chapter 18 3:4",Leviticus,859,86,Leviticus 1:1,False,1.2,110,8,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM6Yi5TDyBhhm7EjQC'}"
"Ohr Sameach on Mishneh Torah, Theft 2:11:1",Chullin 30,32,1,Chullin 30a:9,True,7.0,15,20,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM6n6YXsU4y1ZaNTrq'}"
"Commentary on Sefer Hamitzvot of Rasag, Positive Commandments 34:42",Kiddushin 34a,11,2,Kiddushin 34a:6,True,4.0,68,39,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM6ppxM6RV54KhP9Qb'}"
"Commentary on Sefer Hamitzvot of Rasag, Positive Commandments 34:42",Sukkah 28b,10,1,Sukkah 28b:1,True,7.0,245,33,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM6nbTh97MT8yvmH9L'}"
Yahel Ohr on Zohar 3:155a:10,Tikkunei Zohar,3364,15,Tikkunei Zohar 131a:4,False,6.0,21,118,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM72yWCTBVDaHu2NRy'}"
"Chiddushei HaRim Responsa, Even HaEzer 1:40",Tosafot on Yevamot,1306,1,Tosafot on Yevamot 121b:3:1,False,4.0,566,87,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM6vXd62Coty6R5PMi'}"
The Third Beit HaMikdash 45:2,Yoma 25b,16,1,Yoma 25b:8,True,2.4,1,22,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM73yLgKYh8LnmF5R4'}"
"Torah Temimah on Torah, Exodus 11:8:1",Zevachim 102a,24,10,Zevachim 102a:6,True,7.0,368,23,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM7YEiMgXb9GguQRs9'}"
Maharach Or Zarua Responsa 229:1,Bava Kamma 117b,22,3,Bava Kamma 117b:8,True,4.0,14,45,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM7k8z8Xe1mCFuAYsP'}"
"Arukh HaShulchan, Even HaEzer 130:12",Tosafot on Gittin,951,1,Tosafot on Gittin 3b:4:1,False,4.0,5,124,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM7DPnbDudRQQfj3Zh'}"
"Minchat Shai on Torah, Genesis 28:6:2",Genesis 12:1-17:27,126,1,Genesis 12:1,False,1.2,10,11,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM82kcasQFJh1v9RVg'}"
"Megalleh Amukkot on Torah, Lech Lecha 2",Genesis 12,20,5,Genesis 12:5,True,4.0,148,19,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM8KcktbP4K9a7G4t1'}"
"Sod Yesharim, The First Night of Pesach 42:4",Sotah 11b,24,2,Sotah 11b:3,True,5.0,4,32,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM8VnFuEGGakg1vNHD'}"
"Ohr Sameach on Mishneh Torah, Plaintiff and Defendant 2:2:1",Shevuot 28,22,1,Shevuot 28a:8,True,4.0,11,34,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM8eiSd9g4i7WnQHjm'}"
"Malbim on Leviticus, Tzav 103:1",Zevachim 50,31,1,Zevachim 50b:2,True,4.0,2,38,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM8cUdYCST4QE3dNoD'}"
"Ohr Sameach on Mishneh Torah, Plaintiff and Defendant 2:2:1",Mishnah Shevuot,62,2,Mishnah Shevuot 7:4,False,2.1,517,41,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM8mAAB7x5bs4sK6cj'}"
Rash MiShantz on Mishnah Kelim 1:8:3,Pesachim 68a,19,1,Pesachim 68a:6,True,2.4,29,31,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM8sriaekow2izycwt'}"
Abarbanel on II Samuel 21:15:8,Ruth Rabbah,81,1,Ruth Rabbah 2:12,False,5.0,247,161,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM95GGdwhHFgMi5wmj'}"
Rashash on Bava Metzia 90a:5,Chullin 130b,14,4,Chullin 130b:2,True,5.0,95,16,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM99ySVwPBGMgBCAhf'}"
Abarbanel on Ezekiel 47:1:1,Zechariah,211,11,Zechariah 13:1,False,7.0,429,11,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM94m8av9DCgNrKB66'}"
"Meshiv Tzedek, Talks for Bar Mitzvah 3:12",Kiddushin 19,32,1,Kiddushin 19a:4,True,4.0,93,26,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHM9eVW6eLABLJbUVjC'}"
Minchat Chinukh 263:13:6,Chagigah 23a,16,1,Chagigah 23a:11,True,2.6,7,44,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMA7mJZoyhdpHX1mbs'}"
"Tzaverei Shalal, Haftarah of HaChodesh 1:1",Ezekiel,1273,7,Ezekiel 43:22,False,2.5,204,11,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMAFwqyzS6EroFBNFA'}"
"Sulam on Zohar, Bereshit I 293:1",Song of Songs,117,2,Song of Songs 1:1,False,1.4,39,4,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMAao3kYpCR2Mfiu2h'}"
"Sulam on Zohar, Bereshit I 293:1",Song of Songs,117,2,Song of Songs 1:1,False,1.4,11,4,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMAZZChJStxfGM49Wj'}"
"Kiryat Sefer on Mishneh Torah, Substitution 4:6:1",Temurah 17b:3-21b:14,159,12,Temurah 21a:2,False,6.0,61,18,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMAV6CLsiYFtZw5hDs'}"
Masoret HaTosefta on Gittin 6:8:3,Gittin 81b,26,1,Gittin 81b:4,True,4.0,30,34,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMAe23aYGKRvBMTAV3'}"
